stationID,stationName,lat,lon,count
3121,Jackson Ave & 46 Rd,40.745248,-73.947333,158
3122,48 Ave & 5 St,40.744363,-73.955873,152
3123,31 St & Thomson Ave,40.744697,-73.935404,148
3124,46 Ave & 5 St,40.74731,-73.95451,141
3125,45 Rd & 11 St,40.747086,-73.949772,140
3126,44 Dr & Jackson Ave,40.747182,-73.943264,137
3127,9 St & 44 Rd,40.74966,-73.9521,135
3128,21 St & 43 Ave,40.750525,-73.945948,135
3129,Queens Plaza North & Crescent St,40.751102,-73.940737,135
3130,21 St & Queens Plaza North,40.75326,-73.943358,135
3132,E 59 St & Madison Ave,40.763505,-73.971092,134
3133,E 67 St & Park Ave,40.767356,-73.964935,127
3134,3 Ave & E 62 St,40.763126,-73.965269,123
3135,E 75 St & 3 Ave,40.771129,-73.957723,120
3136,5 Ave & E 63 St,40.766505,-73.971476,118
3137,5 Ave & E 73 St,40.772828,-73.966853,111
3139,E 72 St & Park Ave,40.771229,-73.964326,109
3140,1 Ave & E 78 St,40.771404,-73.953517,108
3141,1 Ave & E 68 St,40.765005,-73.958185,107
3142,1 Ave & E 62 St,40.761227,-73.96094,107
3143,5 Ave & E 78 St,40.776829,-73.963888,107
3144,E 81 St & Park Ave,40.776777,-73.95901,106
3145,E 84 St & Park Ave,40.778627,-73.957721,102
3146,E 81 St & 3 Ave,40.77573,-73.956753,101
3147,E 85 St & 3 Ave,40.778012,-73.954071,100
3148,E 84 St & 1 Ave,40.775655,-73.950686,94
3149,E 82 St & 2 Ave,40.775178,-73.953249,89
3150,E 85 St & York Ave,40.775369,-73.948034,87
3155,Lexington Ave & E 63 St,40.7644,-73.96649,86
3156,E 72 St & York Ave,40.766638,-73.953483,85
3157,East End Ave & E 86 St,40.775186,-73.944461,85
3158,W 63 St & Broadway,40.771639,-73.982614,85
3159,W 67 St & Broadway,40.774925,-73.982666,82
3160,Central Park West & W 76 St,40.778968,-73.973747,81
3161,W 76 St & Columbus Ave,40.780184,-73.977285,79
3162,W 78 St & Broadway,40.7834,-73.980931,77
3163,Central Park West & W 68 St,40.773407,-73.977825,75
3164,Columbus Ave & W 72 St,40.777057,-73.978985,75
3165,Central Park West & W 72 St,40.775753,-73.97604,75
3166,Riverside Dr & W 72 St ,40.780578,-73.985624,74
3167,Amsterdam Ave & W 73 St,40.779668,-73.98093,74
3168,Central Park West & W 85 St,40.784727,-73.969617,73
3169,Riverside Dr & W 82 St,40.787209,-73.981281,73
3170,W 84 St & Columbus Ave,40.785,-73.972834,71
3171,Amsterdam Ave & W 82 St,40.785247,-73.976673,68
3172,W 74 St & Columbus Ave,40.778567,-73.97755,68
3173,Riverside Blvd & W 67 St,40.777507,-73.988886,67
3175,W 70 St & Amsterdam Ave,40.77748,-73.982886,66
3176,W 64 St & West End Ave,40.774528,-73.987538,66
3177,W 84 St & Broadway,40.786795,-73.977112,66
3178,Riverside Dr & W 78 St,40.784145,-73.983625,64
3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,62
3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,62
3181,Soissons Landing,40.692609,-74.016398,61
3182,Yankee Ferry Terminal,40.686931,-74.016966,59
3187,Warren St,40.721124,-74.038051,58
3211,Newark Ave,40.721525,-74.046305,56
3214,Essex Light Rail,40.712774,-74.036486,56
3219,NYCBS Depot - STY,40.729193,-73.976655,55
3221,47 Ave & 31 St,40.743,-73.93561,53
3222,Hanson Pl & St Felix St,40.68516,-73.977114,52
3223,E 55 St & 3 Ave,40.758997,-73.968654,51
3224,W 13 St & Hudson St,40.739974,-74.005139,48
3226,W 82 St & Central Park West,40.78275,-73.97137,47
3229,Marcy Ave & MacDonough St,40.680618,-73.946249,43
3230,Penn Station Valet,40.751284,-73.996924,42
3231,E 67 St & Park Ave,40.767801,-73.965921,42
3232,Bond St & Fulton St,40.689622,-73.983043,39
3233,E 48 St & 5 Ave,40.757246,-73.978059,39
3234,E 40 St & Madison Ave,40.751594,-73.980432,36
3235,E 41 St & Madison Ave,40.752165,-73.979922,34
3237,21 St & 41 Ave,40.753833,-73.942677,33
2000,Front St & Washington St,40.702551,-73.989402,32
2001,Sands St & Navy St,40.699773,-73.979927,29
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,22
2003,1 Ave & E 18 St,40.734161,-73.980243,21
2004,6 Ave & Broome St,40.724399,-74.004704,13
2005,Railroad Ave & Kay Ave,40.705312,-73.971001,3
2006,Central Park S & 6 Ave,40.765909,-73.976342,2
2008,Little West St & 1 Pl,40.705693,-74.016777,1
2009,Catherine St & Monroe St,40.711174,-73.996826,
2010,Grand St & Greene St,40.721655,-74.002347,
2012,E 27 St & 1 Ave,40.739445,-73.976806,
2017,E 43 St & 2 Ave,40.750224,-73.971214,
2021,W 45 St & 8 Ave,40.759291,-73.988597,
2022,E 59 St & Sutton Pl,40.758491,-73.959206,
2023,E 55 St & Lexington Ave,40.759681,-73.970314,
